poi_id;poi_name;category;latitude;longitude;area;nearest_stop_id;walking_min_from_stop;short_description;osm_id;source;verified
POI_001;Villa des Arts دار الفنون;museum;33.586431;-7.629503;Maârif;T4_03;5;Fondée en 1999, la Villa des Arts est un espace culturel emblématique de Casablanca installé dans une villa Art déco des années 1930. Elle accueille expositions temporaires, résidences d'artistes et concerts dans un cadre architectural remarquable.;way/1388403773;OSM-Overpass/tourism;TRUE
POI_002;Hassan II Mosque Museum;museum;33.6055;-7.630479;Corniche / Médina;T2_08;8;Musée situé sous l'esplanade de la Mosquée Hassan II, deuxième plus grande mosquée du monde. Il présente l'histoire de la construction monumentale et les arts islamiques marocains. La mosquée elle-même, inaugurée en 1993, peut accueillir 105 000 fidèles.;node/5476241921;OSM-Overpass/tourism;TRUE
POI_003;Musée de la Fondation Abderrahman slaoui;museum;33.592402;-7.622616;Centre-ville;T1_011;10;Installé dans un immeuble Art déco de 1930, ce musée privé expose affiches vintage, bijoux, flacons de parfum et arts décoratifs du Maroc du XXe siècle. La collection Slaoui est l'une des plus belles collections d'art décoratif colonial au Maroc.;node/7282188285;OSM-Overpass/tourism;TRUE
POI_004;متحف الطيران;museum;33.560631;-7.665825;Sidi Maarouf;BW2_04;12;Le Musée de l'Aviation de Casablanca retrace l'histoire de l'aviation civile et militaire au Maroc. Il expose des maquettes, uniformes, équipements et documents historiques liés à Royal Air Maroc et à l'aviation marocaine depuis l'indépendance.;node/11216925204;OSM-Overpass/tourism;TRUE
POI_005;Attarik Foundation;museum;33.606499;-7.619778;Centre-ville;T1_013;8;La Fondation Attarik est un espace culturel dédié à la préservation et la valorisation du patrimoine musical et artistique marocain. Elle organise des ateliers, expositions et événements autour des arts traditionnels.;node/11891557531;OSM-Overpass/tourism;TRUE
POI_006;Musée du Judaïsme marocain متحف التراث اليهودي المغربي;museum;33.552255;-7.638984;Oasis / Maârif;T1_005;15;Unique en son genre dans le monde arabe, ce musée fondé en 1997 retrace 2000 ans d'histoire des communautés juives du Maroc. Il abrite costumes, manuscrits, objets liturgiques et photographies témoignant d'une coexistence culturelle remarquable.;node/12927918805;OSM-Overpass/tourism;TRUE
POI_007;Mausolée Sidi Abderrahmane ضريح سيدي عبد الرحمن;historic;33.582497;-7.704457;Corniche / Rocher;T2_010;12;Sanctuaire blanc perché sur un rocher au bord de l'Atlantique, accessible à marée basse. Le mausolée de Sidi Abderrahmane est un lieu de pèlerinage et l'un des sites les plus photographiés de Casablanca, entre mer et ville.;way/174670321;OSM-Overpass/museum_historic;TRUE
POI_008;Sémiramis;historic;33.583224;-7.563728;Casablanca;;;Site touristique de Casablanca.;way/307309390;OSM-Overpass/museum_historic;FALSE
POI_009;Sidi Ahmad al Taghy;historic;33.589226;-7.680643;Casablanca;;;Site touristique de Casablanca.;way/1356886212;OSM-Overpass/museum_historic;FALSE
POI_010;Dar Khalifa دار خليفة;historic;33.580817;-7.681709;Médina;T3_002;8;La Dar Khalifa est un palais historique de la médina de Casablanca datant de l'époque du protectorat. Cet édifice témoigne de l'architecture traditionnelle marocaine avec ses patios, zellige et boiseries sculptées.;way/1362927101;OSM-Overpass/museum_historic;TRUE
POI_011;باب المرسى;historic;33.600595;-7.617076;Casablanca;;;Site touristique de Casablanca.;node/566450798;OSM-Overpass/museum_historic;FALSE
POI_012;Bab Marrakech;historic;33.598184;-7.6215;Médina;T3_002;5;Bab Marrakech est l'une des anciennes portes de la médina de Casablanca, vestige des remparts historiques de la ville. Elle marque l'entrée du quartier historique et constitue un point de repère important entre la ville moderne et l'ancienne médina.;node/3964572091;OSM-Overpass/museum_historic;TRUE
POI_013;Mohbas;historic;33.529278;-7.651842;Casablanca;;;Site touristique de Casablanca.;node/4579812898;OSM-Overpass/museum_historic;FALSE
POI_014;Plaque mémoriale Hachimi El Filali;historic;33.562118;-7.626499;Casablanca;;;Site touristique de Casablanca.;node/5482661780;OSM-Overpass/museum_historic;FALSE
POI_015;siyed el bernoussi;historic;33.616321;-7.498655;Casablanca;;;Site touristique de Casablanca.;node/7168801044;OSM-Overpass/museum_historic;FALSE
POI_016;Western Naval Task Force Marker;historic;33.578091;-7.575259;Casablanca;;;Site touristique de Casablanca.;node/9338740640;OSM-Overpass/museum_historic;FALSE
POI_017;باب مراكش;historic;33.596933;-7.617866;Casablanca;;;Site touristique de Casablanca.;node/11216998368;OSM-Overpass/museum_historic;FALSE
POI_018;Sidi Bilyout;historic;33.598807;-7.614118;Casablanca;;;Site touristique de Casablanca.;node/12558637009;OSM-Overpass/museum_historic;FALSE
POI_019;Palais Al-Saoud قصر آل سعود;historic;33.595377;-7.666678;Casablanca;;;Site touristique de Casablanca.;node/12654142398;OSM-Overpass/museum_historic;FALSE
POI_020;Théatre du Complexe Moulay Rachid;theatre;33.564655;-7.554001;Ben M'Sick;T3_007;10;Le Théâtre du Complexe Culturel Moulay Rachid est une salle de spectacle polyvalente dans le quartier Ben M'Sick. Il accueille pièces de théâtre, concerts et manifestations culturelles pour le grand public casablancais.;way/243802115;OSM-Overpass/culture;TRUE
